pluck,pull the feathers off pick (e.g.. flowers)
pivotal,of great importance (others depend on it)
﻿Word, Definition
recuperate,become strong after illness loss exhaustion
precursors,a person or thing that precedes, as in a process or job."
surcharge,additional load/charge
ascend,go or come up
nihilism,total rejection of all religious and moral beliefs
hypocrisy,falsely making oneself appear to be good
repel,refuse to accept/cause dislike
legacy,Bequest or inheritance
ambidextrous,able to use the left hand or the right equally well
accolade,praise; approval
auxiliary,helping; supporting
elaborate,worked out with much care in great detail
disproof,proof to the contrary
somersault,rolling backward or forward (not sideways) movement
encapsulate,enclose in capsule
ambivalent,having both of two contrary meanings
livid,Furiously angry, enraged"
satiate,satisfy fully
ail,to cause pain, uneasiness, or trouble to."
philanthropist,one who loves mankind
agile,active; quick-moving
massacre,cruel killing of a large number of people
weigh,measure how heavy something is
equilibrium,state of being balanced
heterogeneous,made up of different kinds
sporadic,happening from time to time
disrobe,undress
inquest,Legal or judicial inquiry, especially before a jury and especially made by a coroner into the cause of someone.s death"
affinity,close connection; relationship
abscond,to go away suddenly (to avoid arrest)
ameliorate,improve; make better
opaqueness,dullness/not allowing light to pass through
tractable,easily controlled or guided
animosity,strong dislike
dislodge,move force from the place occupied
fission,splitting or division (esp. of cells)
narcissism,Self-love
defer,postpone
negligent,taking too little care
moderation,quality of being limited; not extreme
acumen,Keen, quick, accurate insight or judgment"
invincible,too strong to be defeated
parenthesis,sentence within another one something separated
suffice,be enough
dwarf,person much smaller the usual size
foster,nurture; care for
shallow,little depth; not earnest
plea,request
boisterous,noisy; restraint
vivacious,lively high-spirited
buoyant,able to float; light-hearted
clot,half-solid lump formed from liquid
gallant,brave,behaves well with women"
pertain,belong as a part have reference
embezzle,use in a wrong way for one's own benefit
luminary,star; light-giving body
paradigm,a model example or pattern
endorse,write one's name on the back of
shard,A piece of broken pottery
incongruous,out of place; not in harmony or agreement
repulsive,causing a feeling of disgust
presentiment,anticipatory fear; premonition
submerge,put under water liquid sink out of sight
sanction,approval (by authority) penalty
braggart,boastful
turbulence,being uncontrollably violent
beguile,mislead or delude; cheat; pass time
combustion,process of burning
perish,be destroyed decay
divergence,getting farther apart from a point
unscathed,unharmed unhurt
tadpole,form of a frog when it leaves the egg
woo,try to win
ambiguous,doubtful; uncertain
patron,regular customer person who gives support
chortle,loud chuckle of pleasure or amusement
entice,attract, lure"
allegiance,duty support loyalty
permeate,spread into every part of
edify,instruct; correct morally
introvert,one who turns towards himself
yarn,tale story fibers for knitting
timid,shy easily frightened
chisel,steel tool for shaping materials
rejuvenation,becoming young in nature or appearance
adorn,add beauty; decorate
mesmerize,hypnotize
misogynist,one who hates women/females
pilferer,to steal, especially in small quantities"
skit,short piece of humorous writing
concur,agree in opinion happen together
eulogy,formal praise panegyric
constrict,make tight or smaller
scribble,write hastily
centurion,leader of a unit of 100 soldiers
salvage,the saving of property from loss
treacherous,not to be trusted, perfidious"
antidote,medicine used against a poison or a disease
conjoin,to join together
steeply,rising or falling sharply
impede,hinder; get in the way of
aggravate,make worse; irritate
indigenous,native
dullard,a stupid, insensitive person"
fidelity,loyalty accuracy
renovate,restore something to better condition
predominate,have more power than others
odor,smell
retrospective,Looking back on past
bewilder,puzzle; confuse
malevolent,malicious; evil; having or showing ill will
stray,wander lose one's way
judicious,sound in judgment; wise
enigma,something that is puzzling
knit,draw together; unite firmly
drowsiness,feeling sleepy half asleep
affable,polite and friendly
introspection,examining one's own thoughts and feelings
enzyme,catalyst
sobriety,quality or condition of being sober
bogus,sham; counterfeit; not genuine
indistinct,not easily heard; seen clearly marked
complaisant,trying to please; obliging
sanity,health of mind soundness of judgment
reminiscent,suggest something in the past
anguish,severe suffering
sadistic,Cruel
extinct,no longer active
Lambaste,attack verbally
resuscitation,coming back to consciousness
sponge,porous rubber for washing live at once expense
dormant,in a state of inactivity but awaiting development
shunned,avoided, kept away from"
suffocate,cause or have difficulty in breathing
gerontocracy,government ruled by old people
loll,rest to sit or stand in a lazy way hang (dog's tongue)
commuter,person who travels regularly
abstruse,difficult to comprehend; obscure
dexterity,skill (esp. in handling)
pest,destructive thing or a person who is nuisance
